0
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
"              Sunny     Rainy    Autumn    Winter  Harmattan
Russia     0.336117  0.906025  0.127542  0.220743   0.165391
Italy      0.049420  0.323621  0.783926  0.363013   0.463888
Australia  0.932044  0.665384  0.870018  0.989669   0.390991
Cuba       0.525005  0.431679  0.816400  0.194768   0.489707
Botswana   0.623814  0.980692  0.339194  0.313131   0.976892"
